Date;EMP;PE;CAPE;DY;Rho;MOV ;IR;RR;Y02;Y10;STP;CF;MG;RV;ED;UN;GDP;M2;CPI;DIL;YSS;NYF;_AU;_DXY;_LCP;_TY;_OIL;_MKT;_VA;_GR
4/10/88;2,0%;12,9;14,469;3,6;-0,083;118;6,02;-1,061;7,459;8,484;1,025;0,176409185803758;8,4%;10,6%;13,0%;-0,136363636363636;0,0424122606414281;0,0497512437810945;0,04373576309795;0,00575973286575526;0,251622;6,896895065;450,5;89,14;2473,7;97,99;16,87;419,06;823,219;462,551
4/17/88;2,0%;12,4;13,96;3,75;-0,078;121;5,88;-0,76;7,582;8,737;1,155;0,18788501026694;8,4%;10,6%;13,0%;-0,142857142857143;0,0424122606414281;0,0516674495068108;0,0426258585553627;0,00577482826871578;0,328976;2,631748517;456,25;88,31;2328,2;96,534;18,32;404,66;823,219;462,551
4/24/88;2,0%;12,4;13,95;3,75;-0,051;123;5,83;-0,76;7,618;8,773;1,155;0,18788501026694;8,4%;10,5%;13,0%;-0,142857142857143;0,0424122606414281;0,0516674495068108;0,0426258585553627;0,00567644716806281;0,156475;2,631748517;449,25;88,89;2201,4;96,47;18,13;404,71;823,219;462,551
5/1/88;2,0%;12,5;14,036;3,75;-0,054;124,2;5,98;-0,76;7,728;8,873;1,145;0,18788501026694;8,4%;10,5%;12,9%;-0,142857142857143;0,0424122606414281;0,0516674495068108;0,0426258585553627;0,00531477873902308;0,146747;2,631748517;449;89,16;2147,8;96,005;18,1;407,55;840,891;461,176
5/8/88;2,0%;12,3;13,761;3,82;-0,079;118,4;6,29;-0,76;7,885;8,99;1,105;0,18788501026694;8,4%;10,5%;13,0%;-0,142857142857143;0,0424122606414281;0,0516674495068108;0,0426258585553627;-0,000155889179080604;0,147628;2,631748517;443;89,3;2200,9;95,446;17,63;401,29;840,891;461,176
5/15/88;2,0%;12,2;13,725;3,83;-0,095;118,1;6,18;-0,429;7,868;9,036;1,168;0,166990291262136;8,4%;10,5%;13,0%;-0,111111111111111;0,0448448295006225;0,0552129539471311;0,042480771762228;-0,000874833642006911;0,156093;1,077625013;449,25;89,19;2759,1;95,323;17,52;400,6;840,891;461,176
5/22/88;2,0%;12;13,532;3,89;-0,098;121,2;6,24;-0,429;8,083;9,242;1,159;0,166990291262136;8,4%;10,5%;13,0%;-0,111111111111111;0,0448448295006225;0,0552129539471311;0,042480771762228;-0,0010597977193989;0,2152;1,077625013;455,5;89,95;2486,7;94,239;17,41;395,3;840,891;461,176
5/29/88;2,0%;12,1;13,556;3,89;-0,099;102,4;6,44;-0,429;8,194;9,265;1,071;0,166990291262136;8,4%;10,5%;13,0%;-0,111111111111111;0,0448448295006225;0,0552129539471311;0,042480771762228;-0,000951706148510367;0,154993;1,077625013;452,5;90,48;2384,7;94,27;17,45;396,37;840,891;461,176
6/5/88;1,8%;12,6;14,154;3,71;-0,099;99,4;6,46;-0,429;7,999;8,94;0,941;0,166990291262136;9,8%;10,3%;12,7%;-0,111111111111111;0,0448448295006225;0,0552129539471311;0,042480771762228;-0,00166695748269641;0,214978;1,077625013;464,75;91,3;2709,1;96,263;17,51;415,98;853,699;461,702
6/12/88;1,8%;12,8;14,356;3,66;-0,088;99,2;6,45;-0,429;7,965;8,931;0,966;0,166990291262136;9,8%;10,3%;12,7%;-0,111111111111111;0,0448448295006225;0,0552129539471311;0,042480771762228;-0,00226582853874402;0,168798;1,077625013;457,25;90,82;2879,8;96,484;16,7;422,29;853,699;461,702
