Acronym;Description;Processing;Datastream;
EMP;number of employees;YoY;TOTMKUS(DWEN);
PE;price/earnings;;TOTMKUS(PE);
CAPE;cyclically adjusted price/earnings;;(TOTMKUS(PI)/CSR#(USCONPRCF))/MAV#(TOTMKUS(PI)/TOTMKUS(PE)/CSR#(USCONPRCF),10Y);
DY;dividend yield;;TOTMKUS(DY);
Rho;equity/bond correlation;;CORR#(PCH#(BMUS10Y(CI),5D),PCH#(MSUSAML(MSPI),5D),250D);
MOV ;implied bond vol;;MOVEIDX;
IR;nominal interest rate;;TRUS3MT;
RR;real interest rate;;TRUS3MT-GRFL#(USCCOR..E,10Y);
Y02;2Y treasury yield;;BMUS02Y(RY);
Y10;10Y treasury yield;;BMUS10Y(RY);
STP;steepness (10Y-2Y yield);;BMUS10Y(RY);
CF;consumer confidence;YoY;USCNFCONQ;
MG;corporate margin;YoY;TOTMKUS(DWNM);
RV;corporate revenues;YoY;TOTMKUS(DWSL);
ED;corporate earnings;YoY;TOTMKUS(DWED);
UN;unemployment ;YoY;USUN%TOTQ;
GDP;gdp;YoY;USCGDP..D;
M2;money supply ;YoY;USM2....B;
CPI;inflation;YoY;USCCOR..E;
DIL;equity issuance;YoY;TOTMKUS(MV)/TOTMKUS;
YSS;systemic risk ;;USCISSI;
NYF;probability of recession ;;USNYFRECR;
_AU;gold;;GOLDBLN;
_DXY;usd (trade weighted);;NDXYSPT;
_LCP;copper;;LCPCASH;
_TY;treasury;;BMUS10Y(RI);
_OIL;oil;;CRUDOIL(P);
_MKT;market;;TOTMKUS(RI);
_VA;value index;;MSVUSAL(MSRI);
_GR;growth index;;MSGUSAL(MSRI);
